name,id
Abilene Christian,0
Air Force,1
Akron,2
Alabama,3
Alabama A&M,4
Alabama State,5
Alcorn State,6
Appalachian State,7
Arizona,8
Arizona State,9
Arkansas,10
Arkansas P. B.,11
Arkansas State,12
Army,13
Auburn,14
Austin Peay,15
Ball State,16
Baylor,17
Bethune-Cookman,18
Boise State,19
Boston College,20
Bowling Green State,21
Brown,22
Bucknell,23
Buffalo,24
Butler,25
Brigham Young,26
Cal Poly-S.L.O.,27
California,28
Cal-Nrthridge,29
Cal-Sacrmnto,30
Canisius,31
Cent Conn State,32
Central Michigan,33
Central St Ohio,34
Charleston S.,35
Cincinnati,36
The Citadel,37
Clemson,38
Clinch Valley,39
Colgate,40
Colorado,41
Colorado State,42
Columbia,43
Cornell,44
Culver-Stockton,45
Dartmouth,46
Davidson,47
Dayton,48
Delaware,49
Delaware State,50
Drake,51
Duke,52
Duquesne,53
East Carolina,54
Eastern Illinois,55
Eastern Kentucky,56
Eastern Tennessee State,57
Eastern Michigan,58
Eastern Washington,59
Elon College,60
Fairfield,61
Florida,62
Florida A&M,63
Florida State,64
Fordham,65
Fresno State,66
Furman,67
Georgia Southern,68
Georgetown,69
Georgia,70
Georgia Tech,71
Grambling State,72
Grand Valley State,73
Hampton,74
Harvard,75
Hawaii,76
Henderson State,77
Hofstra,78
Holy Cross,79
Houston,80
Howard,81
Idaho,82
Idaho State,83
Illinois,84
Illinois State,85
Indiana,86
Indiana State,87
Iona,88
Iowa,89
Iowa State,90
James Madison,91
Jackson State,92
Jacksonville State,93
John Carroll,94
Kansas,95
Kansas State,96
Kent State,97
Kentucky,98
Kutztown,99
La Salle,100
Louisiana Tech,101
Lambuth,102
Lehigh,103
Liberty,104
Louisville,105
LSU,106
Mississippi Valley State,107
Maine,108
Marist,109
Marshall,110
Maryland,111
Massachusetts,112
McNeese State,113
Memphis,114
Miami (Fla.),115
Miami (Ohio),116
Michigan,117
Michigan State,118
Middle Tennessee State,119
Minnesota,120
Mississippi State,121
Missouri,122
Monmouth (N.J.),123
Montana,124
Montana State,125
Morehead State,126
Morehouse,127
Morgan State,128
Morris Brown,129
Mt S. Antonio,130
Murray State,131
North Alabama,132
Northern Arizona,133
North Carolina A&T,134
North Carolina,135
Northern Colorado,136
Northern Illinois,137
North Carolina State,138
Navy,139
North Carolina Central,140
Nebraska-Omaha,141
Nebraska,142
Nevada,143
New Mexico State,144
New Mexico,145
Nicholls State,146
Norfolk State,147
North Texas,148
Northeastern,149
Northern Iowa,150
Northwestern,151
Notre Dame,152
Northwestern Oklahoma State,153
Northwestern State,154
Ohio,155
Ohio State,156
Oklahoma,157
Oklahoma State,158
Mississippi,159
Oregon,160
Oregon State,161
Prairie View A&M,162
Pennsylvania,163
Penn State,164
Pittsburg State,165
Pittsburgh,166
Portland State,167
Princeton,168
Purdue,169
Rhode Island,170
Rice,171
Richmond,172
Robert Morris,173
Rowan,174
Rutgers,175
South Carolina,176
South Dakota State,177
Southern Illinois,178
South Carolina State,179
San Diego State,180
Stephen F. Austin State,181
Sacred Heart,182
Sam Houston State,183
Samford,184
San Jose State,185
Savannah State,186
Southeast Missouri,187
Southeast Missouri State,188
Shippensburg,189
Siena,190
Simon Fraser,191
Southern Methodist,192
Southern,193
Southern Mississippi,194
Southern Utah,195
St. Francis,196
St. John's,197
St. Mary's,198
St. Peters,199
Stanford,200
Stony Brook,201
SUNY Albany,202
SW Miss State,203
Texas State,204
Syracuse,205
Texas A&M Kingsville,206
Texas Christian,207
Temple,208
Tennessee Tech,209
Tennessee-Chattanooga,210
Tennessee,211
Tennessee State,212
Tennessee-Martin,213
Texas,214
Texas A&M,215
Texas Southern,216
Texas Tech,217
Toledo,218
Towson State,219
Troy,220
Tulane,221
Tulsa,222
Tuskegee,223
Alabama-Birmingham,224
Central Florida,225
UCLA,226
Connecticut,227
Louisiana-Lafayette,228
Louisiana-Monroe,229
Nevada-Las Vegas,230
USC,231
South Florida,232
Utah,233
Utah State,234
Texas-El Paso,235
Valdosta State,236
Valparaiso,237
Vanderbilt,238
Villanova,239
Virginia,240
Virginia Tech,241
VMI,242
Western Carolina,243
Western Illinois,244
Western Kentucky,245
Western Michigan,246
West Texas A&M,247
Wagner,248
Wake Forest,249
Walla Walla,250
Washington State,251
Washington,252
Weber State,253
West Virginia,254
Westminster,255
William & Mary,256
Winston Salem,257
Wisconsin,258
Wofford,259
Wyoming,260
Yale,261
Youngstown State,262
Sonoma State,263
No College,264
N/A,265
New Hampshire,266
UW Lacrosse,267
Hastings College,268
Midwestern State,269
North Dakota State,270
Wayne State,271
Wisconsin-Stevens Point,272
Indiana (PA),273
Saginaw Valley State,274
Central State (OK),275
Emporia State,276
